name,quantity
Sol Ring,1
Arcane Signet,1
Command Tower,2
Evolving Wilds,1
Terramorphic Expanse,1
Path of Ancestry,1
Cultivate,1
Kodama's Reach,1
Rampant Growth,1
Llanowar Elves,2
Birds of Paradise,1
Counterspell,1
Negate,1
Lightning Bolt,1
Swords to Plowshares,1
Beast Within,1
Chaos Warp,1
Rhystic Study,1
Harmonize,1
Night's Whisper,1
Sign in Blood,1
Island,12
Forest,10
Mountain,8
Swamp,6
Plains,6
Wastes,2
Feed the Swarm,1
Infernal Grasp,1
Preordain,1
Ponder,1
Opt,1
Brainstorm,1
Sakura-Tribe Elder,1
Farhaven Elf,1
Wood Elves,1
Eternal Witness,1
Mulldrifter,1
Gray Merchant of Asphodel,1
Lightning Greaves,1
Swiftfoot Boots,1
Thought Vessel,1
Mind Stone,1
Talisman of Curiosity,1
Exotic Orchard,1
Myriad Landscape,1
Ash Barrens,1
Reliquary Tower,1
